period,coverage,hnb_comm,gov_comm_share,s_infl_core,n_synd,n_orig,n_all,n_formal,n_sredisnja,n_centralna,n_infl_hnb,n_monpol_hnb,n_other_retrieval
2021-01,observed,42.0,0.0504060848266082,0.0501650387927945,1456.0,622.0,2078.0,1276.0,717.0,85.0,594.0,738.0,0.0
2021-02,observed,20.0,0.023001594169893,0.0188390049036,373.0,668.0,1041.0,493.0,504.0,44.0,327.0,483.0,0.0
2021-03,observed,25.0,0.0131004366812227,0.0426449758913209,489.0,829.0,1318.0,716.0,535.0,67.0,397.0,583.0,0.0
2021-04,observed,21.0,0.013771657041315,0.0399485776762419,525.0,680.0,1205.0,736.0,430.0,39.0,306.0,455.0,0.0
2021-05,observed,17.0,0.0104903635032935,0.038299838914774,504.0,662.0,1166.0,520.0,529.0,117.0,459.0,544.0,0.0
2021-06,observed,23.0,0.00957734749115136,0.0516412459192086,528.0,600.0,1128.0,502.0,561.0,65.0,482.0,602.0,0.0
2021-07,observed,23.0,0.0170265051781639,0.0601383895267032,716.0,814.0,1530.0,956.0,519.0,55.0,585.0,866.0,0.0
2021-08,observed,14.0,0.00722752240531946,0.0464168890525116,501.0,662.0,1163.0,610.0,453.0,100.0,544.0,681.0,0.0
2021-09,observed,18.0,0.0319301032565528,0.0513917193307657,696.0,909.0,1605.0,888.0,617.0,100.0,692.0,950.0,0.0
2021-10,observed,23.0,0.078732000414379,0.042747291522397,604.0,1012.0,1616.0,917.0,628.0,71.0,830.0,1013.0,0.0
2021-11,observed,28.0,0.0344413295955146,0.0390349929585041,534.0,765.0,1299.0,539.0,693.0,67.0,712.0,797.0,0.0
2021-12,observed,23.0,0.0453172205438067,0.0459275784863697,575.0,788.0,1363.0,606.0,676.0,81.0,742.0,879.0,0.0
2022-01,observed,20.0,0.0641465175027066,0.0462076423018284,866.0,1365.0,2231.0,1195.0,952.0,84.0,1048.0,1554.0,0.0
2022-02,observed,53.0,0.130588235294118,0.0226460171922383,1021.0,1709.0,2730.0,1283.0,1274.0,173.0,1100.0,1672.0,0.0
2022-03,observed,47.0,0.0826757659771096,0.0298769917159526,1175.0,1640.0,2815.0,768.0,1863.0,184.0,1340.0,1788.0,0.0
2022-04,observed,16.0,0.0467863894139887,0.0327180164136293,743.0,1021.0,1764.0,366.0,1278.0,120.0,1158.0,1391.0,0.0
2022-05,observed,42.0,0.0594982078853047,0.0359594263328081,747.0,1159.0,1906.0,624.0,1147.0,135.0,1257.0,1535.0,0.0
2022-06,observed,33.0,0.0937902187902188,0.0264164828720675,703.0,1150.0,1853.0,497.0,1272.0,84.0,1343.0,1600.0,0.0
2022-07,observed,45.0,0.0776322173702086,0.0317946334220552,749.0,1296.0,2045.0,792.0,1144.0,109.0,1339.0,1660.0,0.0
2022-08,observed,5.0,0.0574121679520137,0.0162705209042488,552.0,868.0,1420.0,408.0,940.0,72.0,1000.0,1100.0,0.0
2022-09,observed,28.0,0.139918592818724,0.0189324086900197,606.0,997.0,1603.0,394.0,1091.0,117.0,1180.0,1286.0,1.0
2022-10,observed,35.0,0.077816158127039,0.0289848183621382,653.0,1266.0,1919.0,685.0,1072.0,162.0,1301.0,1564.0,0.0
2022-11,observed,35.0,0.0479755018713848,0.0263741340705054,545.0,947.0,1492.0,511.0,876.0,105.0,1052.0,1214.0,0.0
2022-12,observed,56.0,0.0479685723146904,0.0350366979598922,694.0,1402.0,2096.0,895.0,1054.0,147.0,1292.0,1622.0,0.0
2023-01,observed,37.0,0.0433966690124326,0.0240404169133683,1006.0,1709.0,2715.0,1215.0,1339.0,161.0,1464.0,1931.0,0.0
2023-02,observed,13.0,0.0217331750525066,0.0225824349424278,433.0,1025.0,1458.0,414.0,942.0,102.0,948.0,1132.0,0.0
2023-03,observed,40.0,0.0677001569858713,0.0337767069615291,616.0,1423.0,2039.0,492.0,1394.0,153.0,1311.0,1497.0,0.0
2023-04,observed,20.0,0.0167332899507298,0.148261497751657,443.0,1064.0,1507.0,488.0,875.0,144.0,1030.0,1144.0,0.0
2023-05,observed,29.0,0.0206762344928241,0.0283338611370393,339.0,822.0,1161.0,331.0,730.0,100.0,779.0,910.0,0.0
2023-06,observed,25.0,0.019809035200228,0.0377277646022158,376.0,1144.0,1520.0,409.0,1030.0,81.0,1153.0,1249.0,0.0
2023-07,observed,22.0,0.0387752689443197,0.0314267272222932,293.0,960.0,1253.0,310.0,823.0,120.0,869.0,983.0,0.0
2023-08,observed,12.0,0.0214161921267641,0.0359550077275007,392.0,948.0,1340.0,315.0,914.0,111.0,985.0,1061.0,0.0
2023-09,observed,21.0,0.0745028198278421,0.0255405155198789,303.0,1049.0,1352.0,409.0,827.0,116.0,974.0,1055.0,0.0
2023-10,observed,27.0,0.0248559077809798,0.0276854196984911,229.0,873.0,1102.0,329.0,685.0,88.0,760.0,855.0,0.0
2023-11,observed,15.0,0.0117126807696905,0.107797898582855,234.0,947.0,1181.0,355.0,704.0,122.0,790.0,881.0,0.0
2023-12,observed,34.0,0.0160171522260058,0.0389691711406478,324.0,1110.0,1434.0,508.0,770.0,155.0,865.0,976.0,1.0
2024-01,unavailable_media,,,,,,,,,,,,
2024-02,unavailable_media,,,,,,,,,,,,
2024-03,unavailable_media,,,,,,,,,,,,
2024-04,observed,17.0,0.0188189487345879,0.0277837507064993,262.0,884.0,1146.0,356.0,672.0,118.0,659.0,731.0,0.0
2024-05,observed,18.0,0.0135859587280605,0.0295582028111181,280.0,794.0,1074.0,347.0,634.0,93.0,662.0,749.0,0.0
2024-06,observed,32.0,0.0137925126359976,0.0474724143863395,386.0,1051.0,1437.0,571.0,775.0,91.0,832.0,927.0,0.0
2024-07,observed,16.0,0.0160487883164821,0.0326535372349414,291.0,897.0,1188.0,560.0,561.0,66.0,651.0,834.0,1.0
2024-08,observed,19.0,0.0231975967957276,0.0223194897868055,197.0,668.0,865.0,222.0,572.0,71.0,528.0,604.0,0.0
2024-09,observed,22.0,0.0369584727094721,0.0272182694063819,172.0,980.0,1152.0,307.0,765.0,80.0,729.0,812.0,0.0
2024-10,observed,37.0,0.0110799438990182,0.0139180981986188,235.0,814.0,1049.0,319.0,675.0,55.0,610.0,710.0,0.0
2024-11,observed,26.0,0.00871237156762603,0.0282308927998923,200.0,798.0,998.0,336.0,574.0,88.0,584.0,696.0,0.0
2024-12,observed,17.0,0.0135400446821475,0.0232374071665757,295.0,996.0,1291.0,406.0,746.0,139.0,724.0,845.0,0.0
2025-01,observed,25.0,0.0360148827800455,0.0154037272069572,362.0,1191.0,1553.0,763.0,698.0,92.0,972.0,1137.0,0.0
2025-02,observed,22.0,0.015963978714695,0.0326046136114235,304.0,1286.0,1590.0,866.0,663.0,61.0,877.0,991.0,0.0
2025-03,observed,40.0,0.0142435519055563,0.0237761298276756,329.0,1117.0,1446.0,602.0,735.0,109.0,770.0,987.0,0.0
2025-04,observed,24.0,0.00617403048427552,0.0302067683628576,344.0,1047.0,1391.0,368.0,864.0,159.0,743.0,864.0,0.0
2025-05,observed,25.0,0.00569654920576958,0.0228440809675487,239.0,748.0,987.0,384.0,527.0,76.0,457.0,563.0,0.0
2025-06,observed,36.0,0.0134828706257278,0.0298986025730869,252.0,849.0,1101.0,412.0,635.0,54.0,690.0,775.0,0.0
2025-07,observed,31.0,0.0237462636997675,0.0283417948470541,288.0,1043.0,1331.0,452.0,771.0,108.0,680.0,799.0,0.0
2025-08,observed,13.0,0.0114905498281787,0.0146317408971491,230.0,792.0,1022.0,223.0,699.0,100.0,577.0,669.0,0.0
2025-09,observed,28.0,0.0247380565117071,0.0257157524081783,302.0,1144.0,1446.0,442.0,955.0,49.0,895.0,1026.0,0.0
2025-10,observed,35.0,0.0175269851448114,0.0227897942207308,307.0,1114.0,1421.0,529.0,821.0,71.0,761.0,903.0,0.0
2025-11,observed,33.0,0.0189942507823303,0.00445663350361898,182.0,796.0,978.0,301.0,608.0,69.0,474.0,552.0,0.0
2025-12,observed,27.0,0.0139378491241391,0.0164839269089199,401.0,1431.0,1832.0,532.0,1216.0,84.0,831.0,992.0,0.0
2026-01,observed,25.0,0.0111804222648752,0.0413931659027837,417.0,1599.0,2016.0,929.0,998.0,89.0,870.0,1472.0,0.0
2026-02,observed,28.0,0.00949927547898889,0.015168106663013,196.0,881.0,1077.0,354.0,673.0,50.0,485.0,632.0,0.0
2026-03,observed,29.0,0.068331780055918,0.00789546401668288,359.0,1219.0,1578.0,593.0,891.0,94.0,1003.0,1195.0,0.0
2026-04,observed,34.0,0.0498962224989622,0.00682065446148326,188.0,872.0,1060.0,306.0,691.0,63.0,595.0,713.0,0.0
2026-05,observed,39.0,0.0569777416587656,0.0160808424970105,357.0,1333.0,1690.0,729.0,835.0,126.0,933.0,1285.0,0.0
