period,period_id,period_start,period_end,scope,collection_regime,hnb_count,hnb_i,background_i,rate_per_10000,title_mention_count,title_share,hnb_domains,background_domains,breadth_share,breadth_denominator,effective_domains,top_five_share,top_ten_share,study_id,corpus_id,data_version,method_version,indicator_version,validation_status,fixed_weight_rate,fixed_weight_status,missing_panel_denominators
2021-01,2021-01,2021-01,2021-01,all,legacy,310,310,128395,24.144242377039603,64,0.2064516129032258,66,280,0.2357142857142857,domains_with_background_count_gt_0_union,27.758521086077412,0.3258064516129032,0.5129032258064516,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-01,2021-01,2021-01,2021-01,stable,legacy,243,243,101975,23.82936994361363,53,0.21810699588477367,42,128,0.328125,domains_with_background_count_gt_0_union,19.875126220127903,0.3991769547325103,0.6131687242798354,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,19.247722018643763,available,0
2021-02,2021-02,2021-02,2021-02,all,legacy,280,280,139420,20.083201836178453,45,0.16071428571428573,78,290,0.2689655172413793,domains_with_background_count_gt_0_union,33.67697594501718,0.26785714285714285,0.4607142857142857,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-02,2021-02,2021-02,2021-02,stable,legacy,218,218,110286,19.76678816894257,34,0.1559633027522936,51,128,0.3984375,domains_with_background_count_gt_0_union,23.137293086660172,0.3440366972477064,0.591743119266055,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,23.47808195327312,available,0
2021-03,2021-03,2021-03,2021-03,all,legacy,326,326,157728,20.668492594846825,39,0.1196319018404908,78,279,0.27956989247311825,domains_with_background_count_gt_0_union,28.958038147138968,0.3098159509202454,0.4938650306748466,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-03,2021-03,2021-03,2021-03,stable,legacy,262,262,125460,20.883150007970666,35,0.13358778625954199,52,128,0.40625,domains_with_background_count_gt_0_union,20.915295551492992,0.38549618320610685,0.5992366412213741,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,24.9208414734695,available,0
2021-04,2021-04,2021-04,2021-04,all,legacy,368,368,149202,24.664548732590717,61,0.16576086956521738,72,276,0.2608695652173913,domains_with_background_count_gt_0_union,26.63729346970889,0.33695652173913043,0.5190217391304348,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-04,2021-04,2021-04,2021-04,stable,legacy,291,291,118687,24.518270745743006,51,0.17525773195876287,51,128,0.3984375,domains_with_background_count_gt_0_union,18.797114317425084,0.4261168384879725,0.6357388316151202,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,30.405426326313858,available,0
2021-05,2021-05,2021-05,2021-05,all,legacy,218,218,152768,14.270004189359028,32,0.14678899082568808,68,279,0.24372759856630824,domains_with_background_count_gt_0_union,31.102094240837694,0.3073394495412844,0.46788990825688076,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-05,2021-05,2021-05,2021-05,stable,legacy,162,162,121725,13.308687615526802,28,0.1728395061728395,44,128,0.34375,domains_with_background_count_gt_0_union,19.791855203619914,0.41358024691358025,0.6172839506172839,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,14.754803796799566,available,0
2021-06,2021-06,2021-06,2021-06,all,legacy,244,244,136995,17.810869009817875,36,0.14754098360655737,65,272,0.23897058823529413,domains_with_background_count_gt_0_union,28.678227360308288,0.3114754098360656,0.5163934426229508,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-06,2021-06,2021-06,2021-06,stable,legacy,185,185,108423,17.062800328343616,27,0.14594594594594595,42,128,0.328125,domains_with_background_count_gt_0_union,19.216732172936553,0.41081081081081083,0.6486486486486487,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,18.65850376539754,available,0
2021-07,2021-07,2021-07,2021-07,all,legacy,615,615,145438,42.28606003932947,91,0.14796747967479676,96,270,0.35555555555555557,domains_with_background_count_gt_0_union,39.165890027958994,0.21300813008130082,0.3967479674796748,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-07,2021-07,2021-07,2021-07,stable,legacy,456,456,113849,40.05305272773586,60,0.13157894736842105,61,128,0.4765625,domains_with_background_count_gt_0_union,27.739594450373534,0.28728070175438597,0.5087719298245614,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,35.436929378901056,available,0
2021-08,2021-08,2021-08,2021-08,all,legacy,476,476,134984,35.26343862976353,104,0.2184873949579832,83,269,0.30855018587360594,domains_with_background_count_gt_0_union,35.09541511771995,0.24789915966386555,0.4411764705882353,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-08,2021-08,2021-08,2021-08,stable,legacy,339,339,106061,31.962738424114423,76,0.22418879056047197,52,128,0.40625,domains_with_background_count_gt_0_union,24.02697052059377,0.336283185840708,0.5634218289085545,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,34.24291195084649,available,0
2021-09,2021-09,2021-09,2021-09,all,legacy,867,867,146929,59.00809234392121,114,0.1314878892733564,93,276,0.33695652173913043,domains_with_background_count_gt_0_union,29.179340864096893,0.2918108419838524,0.48788927335640137,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-09,2021-09,2021-09,2021-09,stable,legacy,672,672,117160,57.357459883919425,92,0.13690476190476192,57,128,0.4453125,domains_with_background_count_gt_0_union,20.30503597122302,0.37648809523809523,0.6175595238095238,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,46.951933413388495,available,0
2021-10,2021-10,2021-10,2021-10,all,legacy,813,813,157443,51.63773556144128,121,0.14883148831488316,100,275,0.36363636363636365,domains_with_background_count_gt_0_union,31.55133896606043,0.26322263222632225,0.46863468634686345,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
2021-10,2021-10,2021-10,2021-10,stable,legacy,588,588,120737,48.700895334487356,79,0.13435374149659865,61,128,0.4765625,domains_with_background_count_gt_0_union,20.86062507541933,0.36394557823129253,0.6224489795918368,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,38.79051538964766,available,0
2021-11,2021-11,2021-11,2021-11,all,legacy,429,429,157944,27.161525604011548,59,0.13752913752913754,79,270,0.29259259259259257,domains_with_background_count_gt_0_union,27.481110945199344,0.3123543123543124,0.5291375291375291,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated,,not_applicable,
