analysis_id,dictionary_id,quarter,coverage_state,regime,kind,term,count,denominator,frequency,status,unit,context
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,banka,294,916,0.32096069868995636,reported,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,kredit,279,916,0.30458515283842796,reported,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,euro,129,916,0.1408296943231441,reported,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,kuna,215,916,0.23471615720524017,reported,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,inflacija,6,916,,below_reporting_threshold,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,cijena,94,916,0.10262008733624454,reported,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,kamata,74,916,0.08078602620087336,reported,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,rast,102,916,0.11135371179039301,reported,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,guverner,139,916,0.1517467248908297,reported,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
HNB_MEDIA_LEXICAL_1.1,HNB_MEDIA_LEXICAL_1.0,2021-Q1,complete,legacy,term,ESB / ECB,20,916,,below_reporting_threshold,distinct_body_within_quarter,explicit_HNB_title_and_body_segments
