period,collection_regime,background_all,background_i,hnb_count,hnb_i,formal_only_count,explicit_plus_context,title_mention_count,hnb_with_body,hnb_without_body,stable_hnb_count,stable_background_i,stable_hnb_i,outlet_breadth,active_outlets,exact_body_groups,observed_days,background_with_body,hnb_captures,expected_days,coverage_state,denominator_id,rate_per_10000,stable_rate_per_10000,rate_scope,study_id,corpus_id,data_version
2021-01,legacy,128395,128395,310,310,226,310,64,310,0,243,101975,243,66,280,310,31,128395,585,31,observed_all_days,AEM_web_query_i_publications_v1,24.144242377039603,23.82936994361363,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-02,legacy,139420,139420,280,280,150,280,45,280,0,218,110286,218,78,290,280,28,139420,280,28,observed_all_days,AEM_web_query_i_publications_v1,20.083201836178453,19.76678816894257,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-03,legacy,157728,157728,326,326,205,326,39,326,0,262,125460,262,78,279,326,31,157728,330,31,observed_all_days,AEM_web_query_i_publications_v1,20.668492594846825,20.883150007970666,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-04,legacy,149203,149202,368,368,214,368,61,368,0,291,118687,291,72,276,367,30,149203,370,30,observed_all_days,AEM_web_query_i_publications_v1,24.664548732590717,24.518270745743006,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-05,legacy,152768,152768,218,218,100,218,32,210,8,162,121725,162,68,279,210,31,143544,220,31,observed_all_days,AEM_web_query_i_publications_v1,14.270004189359028,13.308687615526802,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-06,legacy,136995,136995,244,244,153,244,36,241,3,185,108423,185,65,272,241,30,127989,245,30,observed_all_days,AEM_web_query_i_publications_v1,17.810869009817875,17.062800328343616,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-07,legacy,145438,145438,615,615,389,615,91,615,0,456,113849,456,96,270,615,31,145438,622,31,observed_all_days,AEM_web_query_i_publications_v1,42.28606003932947,40.05305272773586,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-08,legacy,134984,134984,476,476,273,476,104,476,0,339,106061,339,83,269,476,31,125618,482,31,observed_all_days,AEM_web_query_i_publications_v1,35.26343862976353,31.962738424114423,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-09,legacy,146929,146929,867,867,432,868,114,859,8,672,117160,672,93,276,858,30,128903,869,30,observed_all_days,AEM_web_query_i_publications_v1,59.00809234392121,57.357459883919425,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-10,legacy,157443,157443,813,813,415,816,121,813,0,588,120737,588,100,275,813,31,157443,815,31,observed_all_days,AEM_web_query_i_publications_v1,51.63773556144128,48.700895334487356,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-11,legacy,157945,157944,429,429,249,429,59,429,0,309,120153,309,79,270,428,30,157945,430,30,observed_all_days,AEM_web_query_i_publications_v1,27.161525604011548,25.71721055654041,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
2021-12,legacy,157016,157016,473,473,276,473,87,461,12,336,120812,336,79,275,461,31,147823,474,31,observed_all_days,AEM_web_query_i_publications_v1,30.12431854078565,27.811806774161507,share_of_monitored_query_eligible_archive,hnb-media,HNB_MEDIA,2026-09-21.1
