source_id,period,background_count,hnb_count,background_i,hnb_i,with_body,exact_body_groups,title_mention_count
01portal.hr,2021-01,340,3,340,3,3,3,0
01portal.hr,2021-02,450,1,450,1,1,1,0
01portal.hr,2021-03,341,0,341,0,0,0,0
01portal.hr,2021-04,231,0,231,0,0,0,0
01portal.hr,2021-05,171,0,171,0,0,0,0
01portal.hr,2021-06,220,2,220,2,2,2,0
01portal.hr,2021-07,521,3,521,3,3,3,0
01portal.hr,2021-08,1004,5,1004,5,5,5,1
01portal.hr,2021-09,1207,4,1207,4,4,4,1
01portal.hr,2021-10,1199,3,1199,3,3,3,0
01portal.hr,2021-11,1143,2,1143,2,2,2,0
01portal.hr,2021-12,1098,1,1098,1,1,1,0
01portal.hr,2022-01,993,3,993,3,3,3,1
01portal.hr,2022-02,1032,9,1032,9,9,9,1
01portal.hr,2022-03,1206,6,1206,6,6,6,0
01portal.hr,2022-04,1103,9,1103,9,9,9,1
01portal.hr,2022-05,1062,5,1062,5,5,5,2
01portal.hr,2022-06,1013,4,1013,4,4,4,0
01portal.hr,2022-07,928,4,928,4,3,3,2
01portal.hr,2022-08,768,1,768,1,1,1,0
01portal.hr,2022-09,1046,2,1046,2,2,2,0
01portal.hr,2022-10,1100,5,1100,5,5,5,1
01portal.hr,2022-11,921,3,921,3,3,3,0
01portal.hr,2022-12,867,3,867,3,3,3,0
01portal.hr,2023-01,836,7,836,7,7,7,1
01portal.hr,2023-02,876,3,876,3,3,3,1
01portal.hr,2023-03,1006,3,1006,3,3,3,0
01portal.hr,2023-04,810,6,810,6,6,6,3
01portal.hr,2023-05,898,4,898,4,4,4,0
01portal.hr,2023-06,767,0,767,0,0,0,0
01portal.hr,2023-07,814,0,814,0,0,0,0
01portal.hr,2023-08,737,1,737,1,1,1,0
01portal.hr,2023-09,698,2,698,2,2,2,0
01portal.hr,2023-10,691,1,691,1,1,1,0
01portal.hr,2023-11,700,2,700,2,2,2,0
01portal.hr,2023-12,660,0,660,0,0,0,0
01portal.hr,2024-01,693,1,693,1,1,1,0
01portal.hr,2024-02,708,1,708,1,1,1,0
01portal.hr,2024-03,628,0,628,0,0,0,0
01portal.hr,2024-04,597,0,597,0,0,0,0
01portal.hr,2024-05,713,0,713,0,0,0,0
01portal.hr,2024-06,587,1,587,1,1,1,1
01portal.hr,2024-07,909,4,909,4,4,4,1
01portal.hr,2024-08,890,1,890,1,1,1,1
01portal.hr,2024-09,1164,1,1164,1,1,1,1
01portal.hr,2024-10,1092,2,1092,2,2,2,0
01portal.hr,2024-11,973,1,973,1,1,1,0
01portal.hr,2024-12,864,3,864,3,3,3,0
01portal.hr,2025-01,918,4,918,4,4,4,0
01portal.hr,2025-02,869,7,869,7,7,7,1
01portal.hr,2025-03,931,6,931,6,6,6,0
01portal.hr,2025-04,1008,3,1008,3,3,3,0
01portal.hr,2025-05,1101,2,1101,2,2,2,0
01portal.hr,2025-06,995,6,995,6,6,6,0
01portal.hr,2025-07,1164,5,1164,5,5,5,1
01portal.hr,2025-08,951,2,951,2,2,2,0
01portal.hr,2025-09,1004,2,1004,2,2,2,0
01portal.hr,2025-10,1047,4,1047,4,4,4,0
01portal.hr,2025-11,811,1,811,1,1,1,0
01portal.hr,2025-12,846,3,846,3,3,3,0
01portal.hr,2026-01,819,11,819,11,11,11,2
01portal.hr,2026-02,823,0,823,0,0,0,0
01portal.hr,2026-03,907,1,907,1,1,1,0
01portal.hr,2026-04,850,1,850,1,1,1,0
01portal.hr,2026-05,826,3,826,3,3,3,1
01portal.hr,2026-06,808,5,808,5,5,5,3
01portal.hr,2026-07,804,5,804,5,5,5,0
01portal.hr,2026-08,548,0,548,0,0,0,0
01portal.hr,2026-09,275,0,275,0,0,0,0
023.hr,2024-01,12,0,12,0,0,0,0
023.hr,2024-02,24,0,24,0,0,0,0
023.hr,2024-03,61,0,61,0,0,0,0
023.hr,2024-04,348,0,348,0,0,0,0
023.hr,2024-05,678,1,678,1,1,1,0
023.hr,2024-06,561,4,561,4,4,4,1
023.hr,2024-07,772,3,772,3,3,3,0
023.hr,2024-08,876,2,876,2,2,2,1
023.hr,2024-09,842,3,842,3,3,3,0
023.hr,2024-10,752,2,752,2,2,2,0
023.hr,2024-11,686,1,686,1,1,1,0
023.hr,2024-12,909,2,909,2,2,2,1
023.hr,2025-01,760,4,760,4,4,4,0
023.hr,2025-02,758,9,758,9,9,9,1
023.hr,2025-03,763,3,763,3,3,3,1
023.hr,2025-04,684,1,684,1,1,1,0
023.hr,2025-05,650,3,650,3,3,3,0
023.hr,2025-06,701,6,701,6,6,6,1
023.hr,2025-07,702,2,702,2,2,2,0
023.hr,2025-08,628,3,628,3,3,3,1
023.hr,2025-09,620,1,620,1,1,1,0
023.hr,2025-10,604,1,604,1,1,1,0
023.hr,2025-11,579,0,579,0,0,0,0
023.hr,2025-12,556,2,556,2,2,2,0
023.hr,2026-01,546,5,546,5,5,5,0
023.hr,2026-02,401,2,401,2,2,2,0
023.hr,2026-03,560,0,560,0,0,0,0
023.hr,2026-04,640,1,640,1,1,1,0
023.hr,2026-05,682,0,682,0,0,0,0
023.hr,2026-06,536,0,536,0,0,0,0
023.hr,2026-07,529,0,529,0,0,0,0
023.hr,2026-08,534,1,534,1,1,1,0
023.hr,2026-09,183,0,183,0,0,0,0
034portal.hr,2021-01,375,0,375,0,0,0,0
034portal.hr,2021-02,408,1,408,1,1,1,0
034portal.hr,2021-03,485,3,485,3,3,3,0
034portal.hr,2021-04,490,1,490,1,1,1,0
034portal.hr,2021-05,473,1,473,1,1,1,0
034portal.hr,2021-06,496,4,496,4,4,4,0
034portal.hr,2021-07,473,6,473,6,6,6,0
034portal.hr,2021-08,437,2,437,2,2,2,0
034portal.hr,2021-09,536,5,536,5,5,5,0
034portal.hr,2021-10,525,2,525,2,2,2,0
034portal.hr,2021-11,490,1,490,1,1,1,0
034portal.hr,2021-12,520,1,520,1,1,1,0
034portal.hr,2022-01,488,5,488,5,5,5,0
034portal.hr,2022-02,493,9,493,9,9,9,0
034portal.hr,2022-03,557,2,557,2,2,2,0
034portal.hr,2022-04,562,5,562,5,5,5,0
034portal.hr,2022-05,516,6,516,6,6,6,0
034portal.hr,2022-06,464,5,464,5,5,5,0
034portal.hr,2022-07,482,8,482,8,8,8,0
034portal.hr,2022-08,465,10,465,10,10,10,0
034portal.hr,2022-09,521,2,521,2,1,1,1
034portal.hr,2022-10,498,7,498,7,7,7,1
034portal.hr,2022-11,505,4,505,4,4,4,0
034portal.hr,2022-12,511,11,511,11,11,11,0
