period_id,period_start,period_end,source_id,hnb_count,hnb_i,background_i,rate_per_10000,eligible,eligibility,rank,collection_regime,study_id,corpus_id,data_version,method_version,indicator_version,validation_status
pooled,2021-01,2026-08,01portal.hr,193,193,57305,33.679434604310266,1,eligible,48,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,023.hr,62,62,18954,32.71077345151419,1,eligible,51,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,034portal.hr,123,123,20524,59.9298382381602,1,eligible,23,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,035portal.hr,58,58,17641,32.87795476446914,1,eligible,50,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,044portal.hr,40,40,13581,29.452912156689493,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,057info.hr,21,21,53733,3.908212830104405,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,24sata.hr,962,962,480562,20.018228657280435,1,eligible,69,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,5g.hr,0,0,1,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,5portal.hr,20,20,21821,9.165482791806058,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,7dnevno.hr,445,445,59628,74.62936875293487,1,eligible,16,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,adria.fun,0,0,168,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,advance.hr,1,1,14067,0.7108836283500392,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,after5.hr,24,24,2822,85.04606661941885,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,agroklub.com,4,4,32118,1.245407559623887,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,agroportal.hr,0,0,2666,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,aktivirajkarlovac.net,2,2,74,270.27027027027026,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,antenazadar.hr,248,248,57039,43.47902312452883,1,eligible,37,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,apoliticni.hr,2,2,5855,3.4158838599487615,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,arhivanalitika.hr,98,98,769,1274.3823146944083,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,artkvart.hr,0,0,8,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,autograf.hr,4,4,2780,14.388489208633093,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,autoportal.hr,0,0,8013,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,b-media.hr,18,18,556,323.7410071942446,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,baranjainfo.hr,41,41,9274,44.209618287686006,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,basketball.hr,0,0,1943,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,baustela.hr,34,34,13355,25.458629726694124,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,bbzinfo.hr,7,7,4335,16.147635524798154,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,bebe.hr,0,0,1,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,bilten.org,7,7,1266,55.292259083728275,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,bitno.net,0,0,7284,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,bjelovar.info,11,11,6996,15.723270440251572,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,bjelovar.live,28,28,16335,17.14110805019896,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,bjelovarac.hr,4,4,3613,11.071132023249378,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,blagamisterije.com,0,0,8,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,bodulija.net,0,0,12,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,boljani.info,0,0,4,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,book.hr,0,0,355,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,booksa.hr,1,1,4185,2.3894862604540026,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,braniteljski-portal.com,15,15,3293,45.551169146674766,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,brodportal.hr,16,16,15064,10.621348911311737,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,budica.info,5,5,1107,45.16711833785005,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,budidobro.com,0,0,1876,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,burin.hr,4,4,5911,6.7670444933175435,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
pooled,2021-01,2026-08,buro247.hr,0,0,10534,0.0,0,below_ranking_threshold,,mixed_boundary_2024_01,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
