source_id,hnb_count,background_count,active_months,with_body,exact_body_groups,is_stable,hnb_share,denominator,period,source_role,medium
tportal.hr,1694,356816,68,1689,1689,1,0.05097036256958026,33235,2021-01/2026-08,editorial,web
index.hr,1651,694335,68,1646,1646,1,0.049676545810139916,33235,2021-01/2026-08,editorial,web
poslovni.hr,1582,71961,68,1580,1580,1,0.047600421242665863,33235,2021-01/2026-08,editorial,web
jutarnji.hr,1508,474457,68,1500,1499,1,0.045373852865954564,33235,2021-01/2026-08,editorial,web
novilist.hr,1506,318107,68,1504,1503,1,0.04531367534225966,33235,2021-01/2026-08,editorial,web
glasistre.hr,1419,282547,68,1407,1407,1,0.04269595306153152,33235,2021-01/2026-08,editorial,web
hrt.hr,1208,288673,68,1204,1204,1,0.03634722431171957,33235,2021-01/2026-08,editorial,web
vecernji.hr,1189,370218,68,1187,1186,1,0.03577553783661802,33235,2021-01/2026-08,editorial,web
direktno.hr,1107,187942,68,1105,1105,1,0.03330825936512712,33235,2021-01/2026-08,editorial,web
slobodnadalmacija.hr,1087,448281,68,1080,1078,1,0.03270648412817813,33235,2021-01/2026-08,editorial,web
nacional.hr,1082,162777,68,1077,1069,1,0.032556040318940875,33235,2021-01/2026-08,editorial,web
glas-slavonije.hr,994,157139,68,993,993,1,0.029908229276365276,33235,2021-01/2026-08,editorial,web
24sata.hr,962,480562,68,959,959,1,0.02894538889724688,33235,2021-01/2026-08,editorial,web
dnevno.hr,947,178756,62,945,945,0,0.02849405746953513,33235,2021-01/2026-08,editorial,web
dnevnik.hr,910,339869,68,907,907,1,0.02738077328117948,33235,2021-01/2026-08,editorial,web
telegram.hr,868,177021,68,867,867,1,0.02611704528358658,33235,2021-01/2026-08,editorial,web
net.hr,676,348582,68,675,675,1,0.020340003008876183,33235,2021-01/2026-08,editorial,web
prigorski.hr,559,155644,68,558,558,1,0.016819617872724537,33235,2021-01/2026-08,editorial,web
hina.hr,507,126660,67,500,500,0,0.015255002256657138,33235,2021-01/2026-08,editorial,web
hrvatska-danas.com,488,68906,56,487,487,0,0.014683315781555588,33235,2021-01/2026-08,editorial,web
dalmatinskiportal.hr,476,175509,68,475,475,1,0.01432225063938619,33235,2021-01/2026-08,editorial,web
7dnevno.hr,445,59628,49,444,444,0,0.01338949902211524,33235,2021-01/2026-08,editorial,web
totalinfo.hr,386,49772,67,386,386,0,0.01161426207311569,33235,2021-01/2026-08,editorial,web
dalmacijadanas.hr,377,162246,68,377,376,1,0.011343463216488641,33235,2021-01/2026-08,editorial,web
zagreb.info,330,90926,68,329,329,1,0.009929291409658493,33235,2021-01/2026-08,editorial,web
rtl.hr,313,118176,68,308,308,1,0.009417782458251842,33235,2021-01/2026-08,editorial,web
sibenik.in,283,78513,68,282,282,1,0.008515119602828344,33235,2021-01/2026-08,editorial,web
otvoreno.hr,250,31378,31,249,249,0,0.007522190461862494,33235,2021-01/2026-08,editorial,web
antenazadar.hr,248,57039,68,248,248,1,0.0074620129381675945,33235,2021-01/2026-08,editorial,web
ogportal.com,246,35000,68,245,245,1,0.007401835414472695,33235,2021-01/2026-08,editorial,web
narod.hr,242,55816,66,241,241,0,0.007281480367082894,33235,2021-01/2026-08,editorial,web
novo.hr,225,19995,65,222,222,0,0.006769971415676245,33235,2021-01/2026-08,editorial,web
tockanai.hr,216,7821,68,216,216,1,0.006499172559049195,33235,2021-01/2026-08,editorial,web
hia.com.hr,206,27562,68,206,206,1,0.0061982849405746955,33235,2021-01/2026-08,editorial,web
istrain.hr,206,58174,68,205,205,1,0.0061982849405746955,33235,2021-01/2026-08,editorial,web
01portal.hr,193,57305,68,192,192,1,0.005807131036557845,33235,2021-01/2026-08,editorial,web
istra24.hr,193,62638,62,193,193,0,0.005807131036557845,33235,2021-01/2026-08,editorial,web
lider.media,178,6475,16,178,178,0,0.0053557996088460956,33235,2021-01/2026-08,editorial,web
dalmacijanews.hr,176,58424,68,175,175,1,0.005295622085151196,33235,2021-01/2026-08,editorial,web
teleskop.hr,158,16935,61,158,158,0,0.004754024371897096,33235,2021-01/2026-08,editorial,web
zagorje.com,154,64690,68,154,154,1,0.004633669324507297,33235,2021-01/2026-08,editorial,web
mirovina.hr,150,14538,68,150,150,1,0.0045133142771174965,33235,2021-01/2026-08,editorial,web
poslovnifm.com,135,4461,68,135,131,1,0.004061982849405747,33235,2021-01/2026-08,editorial,web
dulist.hr,134,46462,68,134,134,1,0.004031894087558297,33235,2021-01/2026-08,editorial,web
radio-banovina.hr,127,20386,52,127,127,0,0.0038212727546261473,33235,2021-01/2026-08,editorial,web
034portal.hr,123,20524,68,122,122,1,0.0037009177072363474,33235,2021-01/2026-08,editorial,web
ipress.hr,114,26678,68,114,114,1,0.0034301188506092976,33235,2021-01/2026-08,editorial,web
poslovnipuls.com,106,5320,63,106,106,0,0.003189408755829698,33235,2021-01/2026-08,editorial,web
znet.hr,102,12798,33,102,102,0,0.003069053708439898,33235,2021-01/2026-08,editorial,web
istarski.hr,101,39353,50,101,101,0,0.0030389649465924476,33235,2021-01/2026-08,editorial,web
nacionalno.hr,99,8607,44,99,99,0,0.002978787422897548,33235,2021-01/2026-08,editorial,web
arhivanalitika.hr,98,769,67,98,98,0,0.002948698661050098,33235,2021-01/2026-08,editorial,web
objektivno.hr,97,4248,56,97,97,0,0.0029186098992026476,33235,2021-01/2026-08,editorial,web
mnovine.hr,90,57195,67,90,90,0,0.002707988566270498,33235,2021-01/2026-08,editorial,web
sjeverni.info,87,34010,48,87,87,0,0.002617722280728148,33235,2021-01/2026-08,editorial,web
sjever.hr,86,48858,65,86,86,0,0.002587633518880698,33235,2021-01/2026-08,editorial,web
medjimurski.hr,85,45156,61,85,85,0,0.0025575447570332483,33235,2021-01/2026-08,editorial,web
varazdinske-vijesti.hr,83,54195,68,83,83,1,0.002497367233338348,33235,2021-01/2026-08,editorial,web
icv.hr,79,48895,60,79,79,0,0.002377012185948548,33235,2021-01/2026-08,editorial,web
novosti.hr,77,24254,68,77,77,1,0.0023168346622536484,33235,2021-01/2026-08,editorial,web
hkm.hr,75,81977,68,75,75,1,0.0022566571385587483,33235,2021-01/2026-08,editorial,web
dubrovnikinsider.hr,72,21408,68,72,72,1,0.002166390853016398,33235,2021-01/2026-08,editorial,web
portalnovosti.com,72,16221,68,72,72,1,0.002166390853016398,33235,2021-01/2026-08,editorial,web
danica.hr,70,13998,68,70,70,1,0.0021062133293214985,33235,2021-01/2026-08,editorial,web
likaclub.eu,67,13764,61,67,67,0,0.0020159470437791484,33235,2021-01/2026-08,editorial,web
svijet.hr,66,5881,20,66,66,0,0.0019858582819316985,33235,2021-01/2026-08,editorial,web
euractiv.hr,65,2845,16,65,65,0,0.0019557695200842487,33235,2021-01/2026-08,editorial,web
slavonijainfo.com,65,16386,46,64,64,0,0.0019557695200842487,33235,2021-01/2026-08,editorial,web
regionalni.com,63,33803,68,63,63,1,0.0018955919963893485,33235,2021-01/2026-08,editorial,web
023.hr,62,18954,32,62,62,0,0.0018655032345418986,33235,2021-01/2026-08,editorial,web
035portal.hr,58,17641,68,58,58,1,0.0017451481871520987,33235,2021-01/2026-08,editorial,web
hrvatski-glasnik.com,56,11612,50,56,56,0,0.0016849706634571987,33235,2021-01/2026-08,editorial,web
womeninadria.com,56,8106,68,56,56,1,0.0016849706634571987,33235,2021-01/2026-08,editorial,web
ebrod.net,55,11953,68,55,55,1,0.0016548819016097489,33235,2021-01/2026-08,editorial,web
hkv.hr,55,5527,45,55,55,0,0.0016548819016097489,33235,2021-01/2026-08,editorial,web
hrturizam.hr,55,9524,68,55,55,1,0.0016548819016097489,33235,2021-01/2026-08,editorial,web
turizmoteka.hr,55,12595,68,55,55,1,0.0016548819016097489,33235,2021-01/2026-08,editorial,web
vzaktualno.hr,55,31232,63,55,55,0,0.0016548819016097489,33235,2021-01/2026-08,editorial,web
ictbusiness.info,54,15990,68,54,54,1,0.0016247931397622988,33235,2021-01/2026-08,editorial,web
imperijal.net,54,2608,68,54,53,1,0.0016247931397622988,33235,2021-01/2026-08,editorial,web
studentski.hr,53,25069,68,53,53,1,0.001594704377914849,33235,2021-01/2026-08,editorial,web
portal.hr,50,18926,32,50,50,0,0.0015044380923724988,33235,2021-01/2026-08,editorial,web
tris.com.hr,50,5573,68,50,50,1,0.0015044380923724988,33235,2021-01/2026-08,editorial,web
panopticum.hr,47,4644,68,46,46,1,0.001414171806830149,33235,2021-01/2026-08,editorial,web
podravski.hr,47,37754,68,47,47,1,0.001414171806830149,33235,2021-01/2026-08,editorial,web
poslovni-savjetnik.com,47,5155,68,47,45,1,0.001414171806830149,33235,2021-01/2026-08,editorial,web
morski.hr,46,37313,67,45,45,0,0.001384083044982699,33235,2021-01/2026-08,editorial,web
osijeknews.hr,46,11328,68,46,46,1,0.001384083044982699,33235,2021-01/2026-08,editorial,web
teklic.hr,46,32163,68,46,46,1,0.001384083044982699,33235,2021-01/2026-08,editorial,web
medjimurjepress.net,45,42589,68,45,44,1,0.001353994283135249,33235,2021-01/2026-08,editorial,web
evarazdin.hr,44,36365,68,44,44,1,0.001323905521287799,33235,2021-01/2026-08,editorial,web
osijekexpress.com,42,17669,48,42,42,0,0.001263727997592899,33235,2021-01/2026-08,editorial,web
baranjainfo.hr,41,9274,47,41,41,0,0.0012336392357454491,33235,2021-01/2026-08,editorial,web
044portal.hr,40,13581,66,40,39,0,0.001203550473897999,33235,2021-01/2026-08,editorial,web
klikaj.hr,38,44561,68,38,38,1,0.001143372950203099,33235,2021-01/2026-08,editorial,web
radiong.hr,37,13352,68,37,37,1,0.0011132841883556492,33235,2021-01/2026-08,editorial,web
plusportal.hr,36,10203,51,36,36,0,0.001083195426508199,33235,2021-01/2026-08,editorial,web
zastita.info,36,6612,68,36,36,1,0.001083195426508199,33235,2021-01/2026-08,editorial,web
faktograf.hr,35,3633,68,35,35,1,0.0010531066646607492,33235,2021-01/2026-08,editorial,web
sibenskiportal.hr,35,30012,51,35,35,0,0.0010531066646607492,33235,2021-01/2026-08,editorial,web
baustela.hr,34,13355,68,34,34,1,0.0010230179028132991,33235,2021-01/2026-08,editorial,web
klikni.news,34,5289,32,34,34,0,0.0010230179028132991,33235,2021-01/2026-08,editorial,web
muralist.hr,33,18967,68,33,33,1,0.0009929291409658493,33235,2021-01/2026-08,editorial,web
likemetkovic.hr,32,11754,68,32,32,1,0.0009628403791183993,33235,2021-01/2026-08,editorial,web
lavoce.hr,31,11629,32,31,31,0,0.0009327516172709493,33235,2021-01/2026-08,editorial,web
klikni.hr,30,17499,55,30,30,0,0.0009026628554234993,33235,2021-01/2026-08,editorial,web
promise.hr,30,1700,68,30,30,1,0.0009026628554234993,33235,2021-01/2026-08,editorial,web
torpedo.media,30,36969,68,30,30,1,0.0009026628554234993,33235,2021-01/2026-08,editorial,web
mojevrijeme.hr,29,8419,68,29,29,1,0.0008725740935760493,33235,2021-01/2026-08,editorial,web
zadarskitjednik.hr,29,6407,26,29,29,0,0.0008725740935760493,33235,2021-01/2026-08,editorial,web
bjelovar.live,28,16335,65,28,28,0,0.0008424853317285994,33235,2021-01/2026-08,editorial,web
dubrovnikportal.com,28,13469,68,27,27,1,0.0008424853317285994,33235,2021-01/2026-08,editorial,web
kigo.hr,28,4861,31,28,28,0,0.0008424853317285994,33235,2021-01/2026-08,editorial,web
vinkulja.hr,28,12268,58,28,28,0,0.0008424853317285994,33235,2021-01/2026-08,editorial,web
glaspodravine.hr,27,14636,66,27,27,0,0.0008123965698811494,33235,2021-01/2026-08,editorial,web
istrage.hr,27,162,57,27,27,0,0.0008123965698811494,33235,2021-01/2026-08,editorial,web
nasabujstina.com,27,5660,45,27,27,0,0.0008123965698811494,33235,2021-01/2026-08,editorial,web
eivanec.com,25,14156,44,25,25,0,0.0007522190461862494,33235,2021-01/2026-08,editorial,web
after5.hr,24,2822,35,24,24,0,0.0007221302843387994,33235,2021-01/2026-08,editorial,web
dubrovniknet.hr,24,17925,34,24,24,0,0.0007221302843387994,33235,2021-01/2026-08,editorial,web
fiuman.hr,23,25067,68,23,23,1,0.0006920415224913495,33235,2021-01/2026-08,editorial,web
mojportal.hr,23,16374,67,23,23,0,0.0006920415224913495,33235,2021-01/2026-08,editorial,web
novagra.hr,23,7346,67,23,23,0,0.0006920415224913495,33235,2021-01/2026-08,editorial,web
srednja.hr,22,22230,68,22,22,1,0.0006619527606438995,33235,2021-01/2026-08,editorial,web
057info.hr,21,53733,68,21,21,1,0.0006318639987964495,33235,2021-01/2026-08,editorial,web
cronika.hr,21,12387,47,20,20,0,0.0006318639987964495,33235,2021-01/2026-08,editorial,web
epodravina.hr,21,44002,68,21,21,1,0.0006318639987964495,33235,2021-01/2026-08,editorial,web
journal.hr,21,30422,68,21,20,1,0.0006318639987964495,33235,2021-01/2026-08,editorial,web
