analysis_id,scope,term,text_count,denominator
HNB_MEDIA_LEXICAL_1.0,terms,banka,10628,33100
HNB_MEDIA_LEXICAL_1.0,terms,euro,9674,33100
HNB_MEDIA_LEXICAL_1.0,terms,guverner,8534,33100
HNB_MEDIA_LEXICAL_1.0,terms,rast,6208,33100
HNB_MEDIA_LEXICAL_1.0,terms,kuna,5896,33100
HNB_MEDIA_LEXICAL_1.0,terms,građanin,5865,33100
HNB_MEDIA_LEXICAL_1.0,terms,kredit,5236,33100
HNB_MEDIA_LEXICAL_1.0,terms,cijena,4824,33100
HNB_MEDIA_LEXICAL_1.0,terms,inflacija,4745,33100
HNB_MEDIA_LEXICAL_1.0,terms,Vlada,4283,33100
HNB_MEDIA_LEXICAL_1.0,terms,kamata,3430,33100
HNB_MEDIA_LEXICAL_1.0,terms,potrošač,3011,33100
HNB_MEDIA_LEXICAL_1.0,terms,kovanica,2946,33100
HNB_MEDIA_LEXICAL_1.0,terms,europodručje,2672,33100
HNB_MEDIA_LEXICAL_1.0,terms,tržište,2398,33100
HNB_MEDIA_LEXICAL_1.0,terms,novčanica,2296,33100
HNB_MEDIA_LEXICAL_1.0,terms,mjera,2256,33100
HNB_MEDIA_LEXICAL_1.0,terms,gospodarstvo,2124,33100
HNB_MEDIA_LEXICAL_1.0,terms,Sabor,1985,33100
HNB_MEDIA_LEXICAL_1.0,terms,savjet,1829,33100
HNB_MEDIA_LEXICAL_1.0,terms,nadzor,1800,33100
HNB_MEDIA_LEXICAL_1.0,terms,rizik,1795,33100
HNB_MEDIA_LEXICAL_1.0,terms,stabilnost,1740,33100
HNB_MEDIA_LEXICAL_1.0,terms,plaća,1736,33100
HNB_MEDIA_LEXICAL_1.0,terms,naknada,1687,33100
HNB_MEDIA_LEXICAL_1.0,terms,depozit,1620,33100
HNB_MEDIA_LEXICAL_1.0,terms,gotovina,1537,33100
HNB_MEDIA_LEXICAL_1.0,terms,BDP,1530,33100
HNB_MEDIA_LEXICAL_1.0,terms,tečaj,1527,33100
HNB_MEDIA_LEXICAL_1.0,terms,ESB / ECB,1469,33100
HNB_MEDIA_LEXICAL_1.0,terms,dug,1284,33100
HNB_MEDIA_LEXICAL_1.0,terms,nekretnina,1237,33100
HNB_MEDIA_LEXICAL_1.0,terms,monetarna politika,1221,33100
HNB_MEDIA_LEXICAL_1.0,terms,kapital,1174,33100
HNB_MEDIA_LEXICAL_1.0,terms,prognoza,1095,33100
HNB_MEDIA_LEXICAL_1.0,terms,projekcija,1016,33100
HNB_MEDIA_LEXICAL_1.0,terms,plaćanje,997,33100
HNB_MEDIA_LEXICAL_1.0,terms,statistika,756,33100
HNB_MEDIA_LEXICAL_1.0,terms,investicija,712,33100
HNB_MEDIA_LEXICAL_1.0,terms,dionica,706,33100
HNB_MEDIA_LEXICAL_1.0,terms,odgovornost,706,33100
HNB_MEDIA_LEXICAL_1.0,terms,štednja,611,33100
HNB_MEDIA_LEXICAL_1.0,terms,likvidnost,583,33100
HNB_MEDIA_LEXICAL_1.0,terms,mandat,582,33100
HNB_MEDIA_LEXICAL_1.0,terms,obveznica,563,33100
HNB_MEDIA_LEXICAL_1.0,terms,zaduživanje,500,33100
