batch,source_role,legacy_L2_proxy,explicit_new,added_acronym_only,removed_nonexplicit
luka_opce,audience,752,1221,1041,572
luka_opce,editorial,28822,20105,7296,16013
luka_opce,hnb_own,357,477,128,8
luka_opce,other_own,71,75,7,3
luka_opce,social_unresolved,1275,2823,2032,484
luka_opce,unknown,24816,13777,4403,15442
mediaspace_full,audience,344,779,689,254
mediaspace_full,editorial,20623,13206,3936,11353
mediaspace_full,hnb_own,356,396,62,22
mediaspace_full,other_media_unresolved,7680,7550,2249,2379
mediaspace_full,other_own,38,38,6,6
mediaspace_full,social_unresolved,2701,2936,1586,1351
mediaspace_full,unknown,18661,7437,2208,13432
