source_id,source_label,source_role,medium,croatian_eligibility,language,ownership,register_id,evidence_url,checked
01portal.hr,01portal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,7/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=20,2026-09-21
023.hr,023.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,50/23,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=50,2026-09-21
034portal.hr,034portal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,46/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=24,2026-09-21
035portal.hr,035portal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,21/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=10,2026-09-21
044portal.hr,044portal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,41/19,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=28,2026-09-21
057info.hr,057info.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,53/16,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=15,2026-09-21
24sata.hr,24sata.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,33/12,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=4,2026-09-21
33515.net,33515.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,77/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=44,2026-09-21
5g.hr,5g.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,29/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=36,2026-09-21
5portal.hr,5portal.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,6/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=38,2026-09-21
7dnevno.hr,7dnevno.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,19/19,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=27,2026-09-21
