period,gap,inflation,source,status
2021-01,-0.00990859177647119,0.0,original,included
2021-02,0.0214174421127233,0.7,original,included
2021-03,-0.00238852887499758,1.6,original,included
2021-04,0.000307869340081431,2.1,original,included
2021-05,0.0019566081015493,2.4,original,included
2021-06,-0.0113847989028853,2.2,original,included
2021-07,-0.0198819425103799,2.7,original,included
2021-08,-0.0061604420361883,3.1,original,included
2021-09,-0.0111352723144424,3.5,original,included
2021-10,-0.00249084450607366,3.9,original,included
2021-11,0.00122145405781921,4.7,original,included
2021-12,-0.00567113147004641,5.2,original,included
2022-01,-0.0059511952855051,5.5,original,included
2022-02,0.017610429824085,6.3,original,included
2022-03,0.0103794553003707,7.3,original,included
2022-04,0.00753843060269405,9.6,original,included
2022-05,0.00429702068351516,10.7,original,included
2022-06,0.0138399641442558,12.1,original,included
2022-07,0.00846181359426814,12.7,original,included
2022-08,0.0239859261120745,12.6,original,included
2022-09,0.0213240383263036,12.6,original,included
2022-10,0.0112716286541851,12.7,original,included
2022-11,0.0138823129458179,13.0,original,included
2022-12,0.00521974905643111,12.7,original,included
2023-01,0.016216030102955,12.5,original,included
2023-02,0.0176740120738955,11.7,original,included
2023-03,0.00647974005479417,10.5,original,included
2023-04,-0.108005050735334,8.9,original,included
2023-05,0.011922585879284,8.3,original,included
2023-06,0.00252868241410754,8.3,original,included
2023-07,0.00882971979403006,8.0,original,included
2023-08,0.00430143928882259,8.4,original,included
2023-09,0.0147159314964444,7.4,original,included
2023-10,0.0125710273178322,6.7,original,included
2023-11,-0.0675414515665312,5.5,original,included
2023-12,0.00128727587567549,5.4,original,included
2024-01,,4.8,original,excluded_text_coverage
2024-02,,4.8,original,excluded_text_coverage
2024-03,,4.9,original,excluded_text_coverage
2024-04,0.012472696309824,4.7,new,included
2024-05,0.0106982442052052,4.3,new,included
2024-06,-0.00721596737001617,3.5,new,included
2024-07,0.00760290978138191,3.3,new,included
2024-08,0.0179369572295178,3.0,new,included
2024-09,0.0130381776099414,3.1,new,included
2024-10,0.0263383488177045,3.6,new,included
2024-11,0.0120255542164311,4.0,new,included
2024-12,0.0170190398497476,4.5,new,included
2025-01,0.0248527198093661,5.0,new,included
2025-02,0.00765183340489981,4.8,new,included
2025-03,0.0164803171886478,4.3,new,included
2025-04,0.0100496786534657,4.0,new,included
2025-05,0.0174123660487746,4.3,new,included
2025-06,0.0103578444432364,4.4,new,included
2025-07,0.0119146521692693,4.5,new,included
2025-08,0.0256247061191742,4.6,new,included
2025-09,0.014540694608145,4.6,new,included
2025-10,0.0174666527955925,4.0,new,included
2025-11,0.0357998135127043,4.3,new,included
2025-12,0.0237725201074034,3.8,new,included
2026-01,-0.00113671888646039,3.6,new,included
2026-02,0.0250883403533103,3.9,new,included
2026-03,0.0323609829996404,4.6,new,included
2026-04,0.03343579255484,5.4,new,included
2026-05,0.0241756045193128,4.9,new,included
